source,author,title,description,url,urlToImage,publishedAt,content,source_name,extracted_at
"{'id': None, 'name': 'Linkedin.com'}",Market Intuition,"France Medical Nutrition Pump Market Size, CAGR, Smart Automation & Scope 2026-2033 Trends"," Download Sample  Get Special Discount France Medical Nutrition Pump Market Global Outlook, Country Deep-Dives & Strategic Opportunities (2024-2033) Market size (2024): USD 1.2 billion · Forecast (2033): 2.",https://www.linkedin.com/pulse/france-medical-nutrition-pump-market-size-cagr-smart-6k12f,https://media.licdn.com/dms/image/v2/D4D12AQH0LtM9hAh38w/article-cover_image-shrink_600_2000/B4DZw11cfNIgAQ-/0/1770429730377?e=2147483647&v=beta&t=GLIt0Q5dIWm5jU7HbC-wMza7vDWcvEQM3sZT9wENhnA,2026-02-07 23:23:26+00:00,"Download Sample     Get Special Discount
France Medical Nutrition Pump Market Global Outlook, Country Deep-Dives &amp; Strategic Opportunities (2024-2033) Market size (2024): USD 1.2 billion · Forec… [+17572 chars]",Linkedin.com,2026-02-09 00:37:26.805722
"{'id': None, 'name': 'Seclists.org'}",,Re: Hey Google - Recaptcha sucks,"Posted by Tom Beecher via NANOG on Feb 07It has long been known that open public wifi ( such as at airports )
heavily impacts the reCAPTCHA score. There are tons of perfectly plausible
technical explanations that could explain what happened, and none of them
…",https://seclists.org/nanog/2026/Feb/17,https://seclists.org/images/nanog-img.png,2026-02-07 23:23:10+00:00,"nanog
mailing list archives
From: Tom Beecher via NANOG &lt;nanog () lists nanog org&gt;Date: Sat, 7 Feb 2026 18:22:22 -0500
It has long been known that open public wifi ( such as at airports )
h… [+2320 chars]",Seclists.org,2026-02-09 00:37:26.805722
"{'id': None, 'name': 'ZyCrypto'}",Brenda Ngari,Russia’s Largest State-Owned Bank Sber To Offer Crypto-Backed Loans For Corporate Clients,"Sber, is working to offer corporate loans backed by cryptocurrency, Reuters reported on Friday citing a representative from the bank.",https://zycrypto.com/russias-largest-state-owned-bank-sber-to-offer-crypto-backed-loans-for-corporate-clients/,https://zycrypto.com/wp-content/uploads/2023/06/Russian-Bank-Rosbank-Pilots-Cross-Border-Cryptocurrency-Transactions-with-Corporate-and-Private-Clients.jpg,2026-02-07 23:21:50+00:00,"As Russia moves to establish a comprehensive digital assets framework this year, the countrys largest commercial bank, Sber, is working to offer corporate loans backed by cryptocurrency, Reuters repo… [+2152 chars]",ZyCrypto,2026-02-09 00:37:26.805722
"{'id': None, 'name': 'Golden State of Mind'}",Joe Viray,Warriors have their sights on signing Lonzo Ball,Warriors are exploring the market to fill their final roster spot.,https://www.goldenstateofmind.com/warriors-rumors/108316/warriors-has-its-sights-on-signing-lonzo-ball,https://s.yimg.com/ny/api/res/1.2/ZHcvxKrQtQmGg47IJY87IA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA7Y2Y9d2VicA--/https://media.zenfs.com/en/sb_nation_articles_115/5447a89c5f326062c0d267d81902fbb3,2026-02-07 23:20:21+00:00,"Freeing up two roster spots after sending Jonathan Kuminga and Buddy Hield to the Atlanta Hawks for Kristaps Porziis and trading Trayce Jackson-Davis to the Toronto Raptors for a second-round pick, t… [+1399 chars]",Golden State of Mind,2026-02-09 00:37:26.805722
"{'id': 'fortune', 'name': 'Fortune'}","Alicia Diaz, Augusta Saraiva, Bloomberg","ICE protests, Bad Bunny flip script on Trump’s midterms playbook",Republicans are increasingly nervous that President Donald Trump’s slipping support on immigration and the economy could cost them the midterm elections.,https://fortune.com/2026/02/07/trump-economy-immigration-ice-protests-bad-bunny-super-bowl-halftime-show-midterm-elections/,"https://fortune.com/img-assets/wp-content/uploads/2026/02/GettyImages-2260094467-e1770505954391.jpg?resize=1200,600",2026-02-07 23:17:31+00:00,Republicans are increasingly nervous that President Donald Trumps slipping support on immigration and the economy two key issues that helped him win in 2024 could cost them the midterm elections. The… [+5772 chars],Fortune,2026-02-09 00:37:26.805722
"{'id': None, 'name': 'Github.com'}",XxCotHGxX,Show HN: I decomposed 87 tasks to find where AI agents structurally collapse,Instruction Entropy: Mapping the &quot;Complexity Kink&quot; where AI productivity collapses and the human labor floor begins. Formal econometric pipeline using Scale AI RLI and O*NET microdata. - ...,https://github.com/XxCotHGxX/Instruction_Entropy,https://opengraph.githubassets.com/9bf1ae3cb0b30bfd3d64182370bec571be33ab70472e8751c346d50602eaafe4/XxCotHGxX/Instruction_Entropy,2026-02-07 23:15:11+00:00,"Econometric mapping of the structural tipping point where task complexity causes a collapse in AI Marginal Productivity.
This repository contains the data pipeline and formal econometric models used… [+4726 chars]",Github.com,2026-02-09 00:37:26.805722
"{'id': None, 'name': 'Healthcarebusinesstoday.com'}",Editorial Team,Why Healthcare Is Still Losing Allied Health Talent,"Signing bonuses aren’t enough. To fix the allied health staffing crisis, healthcare employers must rethink training, retention, and the talent pipeline.",https://www.healthcarebusinesstoday.com/healthcare-allied-talent-shortage-2/,https://e8h575bq8ni.exactdn.com/wp-content/uploads/2024/02/physician-recruitment.jpg,2026-02-07 23:14:03+00:00,"As healthcare organizations navigate unprecedented workforce pressures in 2026, CFOs and financial leaders face a sobering reality: burnout isnt just a human resources problemits a balance sheet cris… [+8676 chars]",Healthcarebusinesstoday.com,2026-02-09 00:37:26.805722
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Hemali Chhapia,"After year of turmoil, Indian diamonds and gems set to shine in US markets","India and the US have agreed to an interim trade framework granting zero-duty access for diamonds and colored gemstones. This move is seen as a critical inflection point for the Indian gems and jewellery sector, aiming to reverse a significant decline in expo…",https://timesofindia.indiatimes.com/business/india-business/after-year-of-turmoil-indian-diamonds-and-gems-set-to-shine-in-us-markets/articleshow/128052461.cms,"https://static.toiimg.com/thumb/msid-128052494,width-1280,height-720,imgsize-988438,resizemode-6,overlay-toi_sw,pt-32,y_pad-600/photo.jpg",2026-02-07 23:12:41+00:00,EMI CalculatorDetermine the monthly installment amount for a loan,The Times of India,2026-02-09 00:37:26.805722
"{'id': 'fortune', 'name': 'Fortune'}","Randall Williams, Bloomberg",The Super Bowl made scarcity its superpower,The NFL has perfected the art of giving people what they want — but not too much of it.,https://fortune.com/2026/02/07/super-bowl-scarcity-superpower-nfl-tv-ratings-viewership/,"https://fortune.com/img-assets/wp-content/uploads/2026/02/GettyImages-2259653780-e1770505351736.jpg?resize=1200,600",2026-02-07 23:08:07+00:00,"This years Super Bowl pits two low-wattage teams in a rematch from 11 years ago. It wont come as a shock if this years broadcast, on NBC, sees a drop from last years record ratings.
The good news fo… [+5750 chars]",Fortune,2026-02-09 00:37:26.805722
"{'id': 'breitbart-news', 'name': 'Breitbart News'}",Lucas Nolan,Boom Town: Chip Industry Revenue to Reach $1 Trillion in 2026 Driven by AI Demand,"The global semiconductor industry is projected to achieve $1 trillion in annual revenue for the first time in 2026, marking a significant milestone powered by AI applications and the expanding integration of computer chips across all economic sectors.
The pos…",https://www.breitbart.com/tech/2026/02/07/boom-town-chip-industry-revenue-to-reach-1-trillion-in-2026-driven-by-ai-demand/,https://media.breitbart.com/media/2026/02/Jensen-Huang-shows-off-Nvidia-chips-640x335.jpg,2026-02-07 23:06:59+00:00,"The global semiconductor industry is projected to achieve $1 trillion in annual revenue for the first time in 2026, marking a significant milestone powered by AI applications and the expanding integr… [+2623 chars]",Breitbart News,2026-02-09 00:37:26.805722
"{'id': None, 'name': 'ZyCrypto'}",Olivia Brooke,"Market Records Largest Long-Term Bitcoin Supply Release In History, Here’s What It Means For BTC","Bitcoin has recorded what analysts describe as the largest long-term supply release in its history, coinciding with a sharp rise in leverage across derivatives markets.",https://zycrypto.com/market-records-largest-long-term-bitcoin-supply-release-in-history-heres-what-it-means-for-btc/,https://zycrypto.com/wp-content/uploads/2020/11/1-Of-Bitcoins-Total-Supply-Has-Just-Been-Seized-By-The-Chinese-Police.jpg,2026-02-07 23:06:49+00:00,"Bitcoin has recorded what analysts describe as the largest long-term supply release in its history, coinciding with a sharp rise in leverage across derivatives markets, which complicates BTCs near-te… [+2180 chars]",ZyCrypto,2026-02-09 00:37:26.805722
"{'id': None, 'name': 'Transactly.com'}",Jacob Ferrer,The Importance of Regularly Reviewing Your Real Estate Marketing Plan,Let’s dive into why a routine check-up of your marketing plan can be a game-changer for your success!,https://blog.transactly.com/the-importance-of-regularly-reviewing-your-real-estate-marketing-plan,https://blog.transactly.com/hubfs/marketingplannedd.jpeg,2026-02-07 23:03:12+00:00,"As a real estate agent, you probably know the ins and outs of property values, neighborhood trends, and the art of negotiation. 
But when was the last time you gave your marketing plan the same leve… [+7159 chars]",Transactly.com,2026-02-09 00:37:26.805722
"{'id': 'buzzfeed', 'name': 'Buzzfeed'}",Jamie Davis Smith,These Unicorn Winter Boots Are The Only Pair You'll Ever Need,I felt like I was walking on a tiny pair of Tempur-Pedic mattresses.View Entire Post ›,https://www.buzzfeed.com/jamiedavissmith/these-unicorn-winter-boots-are-the-only-pair-youll-ever-need,"https://img.buzzfeed.com/buzzfeed-static/static/2026-02/03/22/subbuzz/kQGOEsCej.jpg?crop=1440:754;0,163%26downsize=1250:*",2026-02-07 23:01:06+00:00,"These are killer boots. Ive never owned Danners, but Im a big fan of Danner now, Ill tell you that much. They fit true to size, and they feel like they were designed around my actual foot. They fit t… [+1980 chars]",Buzzfeed,2026-02-09 00:37:26.805722
"{'id': None, 'name': 'Ambcrypto.com'}",Olayiwola Dolapo,Bitcoin Cash’s rally faces KEY test – Can BCH hold above $500?,"On-chain activity points to improving conditions that could support further gains in Bitcoin Cash, though the outlook remains mixed.",https://ambcrypto.com/bitcoin-cashs-rally-faces-key-test-can-bch-hold-above-500/,https://ambcrypto.com/wp-content/uploads/2026/02/Abdul-2026-02-07T125358.441-1000x600.webp,2026-02-07 23:00:54+00:00,"Over the past day, Bitcoin Cash [BCH] posted a strong performance, rising as much as 20% and reaching an intraday high of $544 at the time of writing.
The move reflects a combination of rising on-ch… [+3474 chars]",Ambcrypto.com,2026-02-09 00:37:26.805722
"{'id': None, 'name': 'newsBTC'}",Godspower Owie,Ethereum Libra Formation In Play: ETH’s Next Big Move Could Be Loading,"Ethereum is quietly setting up for a potentially decisive move as the Libra formation remains active on the weekly chart. While confirmation is still pending, the structure has not been invalidated, keeping the upside scenario firmly on the table. With key re…",http://www.newsbtc.com/news/ethereum/ethereum-libra-formation-in-play/,https://www.newsbtc.com/wp-content/uploads/2026/02/Ethereum-from-Pixabay-11.jpg?fit=960%2C540,2026-02-07 23:00:08+00:00,"My name is Godspower Owie, and I was born and brought up in Edo State, Nigeria. I grew up with my three siblings who have always been my idols and mentors, helping me to grow and understand the way o… [+2495 chars]",newsBTC,2026-02-09 00:37:26.805722
"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Jenae Madden,"They were told kids 'didn't read' in this town, they opened a bookshop anyway","In one of Australia's most disadvantaged regions, more known for its lead than its literature, a couple wanted to open a book store but were told children didn't read books there. They did it anyway, and it went on to become a ""world class"" institution.",https://www.abc.net.au/news/2026-02-08/meg-s-bookshop-port-pirie-closes-after-35-years-south-australia/106277430,https://live-production.wcms.abc-cdn.net.au/95dd17f682e990fc4c9789d849ab6bf0?impolicy=wcms_watermark_news&cropH=673&cropW=1197&xPos=0&yPos=46&width=862&height=485&imformat=generic,2026-02-07 23:00:03+00:00,"In one of the most disadvantaged parts of the country, more known for its lead than its literature, an independent bookshop would go on to become a ""world class"" institution and attract readers from … [+5209 chars]",ABC News (AU),2026-02-09 00:37:26.805722
"{'id': None, 'name': 'New York Post'}",Sean Treppedi,"Women’s downhill skiing prediction: Lindsey Vonn odds, picks, best bet in 2026 Winter Olympics",Lindsey Vonn is already defying the odds by competing.,https://nypost.com/2026/02/07/betting/womens-downhill-skiing-prediction-lindsey-vonn-odds-picks-best-bet-in-2026-winter-olympics/,https://nypost.com/wp-content/uploads/sites/2/2026/02/newspress-collage-axsmpklhh-1770422357751.jpg?quality=75&strip=all&1770404454&w=1200,2026-02-07 23:00:00+00:00,"Gambling content 21+. The New York Post may receive an affiliate commission if you sign up through our links. Read our editorial standards for more information.
Shes 41, has a torn ACL and yet oddsm… [+3397 chars]",New York Post,2026-02-09 00:37:26.805722
"{'id': None, 'name': 'The Star Online'}",KHOO GEK SAN,"DPM: Youth, culture drive next phase of M’sia-China ties","KUALA LUMPUR: Education, cultural and youth exchanges will be central to the next phase of Malaysia-China relations, says Deputy Prime Minister Datuk Seri Fadillah Yusof. Read full story",https://www.thestar.com.my/news/nation/2026/02/08/dpm-youth-culture-drive-next-phase-of-msia-china-ties,https://apicms.thestar.com.my/uploads/images/2026/02/08/3759640.jpg,2026-02-07 23:00:00+00:00,"KUALA LUMPUR: Education, cultural and youth exchanges will be central to the next phase of Malaysia-China relations, says Deputy Prime Minister Datuk Seri Fadillah Yusof.
He said investing in these … [+4058 chars]",The Star Online,2026-02-09 00:37:26.805722
"{'id': None, 'name': 'New Zealand Herald'}",Kate MacNamara,Veteran miner Robert Brand targets NZX listing for Taiko Critical Minerals and plans to raise $80m from investors,"Robert Brand hopes to raise $80m for West Coast sand mine, including taxpayer-backed debt.",https://www.nzherald.co.nz/business/markets/commodities/veteran-miner-robert-brand-targets-nzx-listing-for-taiko-critical-minerals-and-plans-to-raise-80m-from-investors/premium/MOFNTYA6QRG6ZDYKXGU2QZRZME/,https://www.nzherald.co.nz/resizer/v2/PQJA63YZGZBPPIEWHUH3ORRS3E.jpg?auth=a288357f2733c58a571ce158cbbcd515ba96b8265f01b8f8d6b3b9ac7b2cec7f&width=1200&height=675&quality=70&smart=true,2026-02-07 23:00:00+00:00,"He floated a small Perth-based company, Australian International Carbon Limited (ACI), in the late 1990s on the ASX, his only public company experience.
And he also ran a couple of firms producing a… [+8874 chars]",New Zealand Herald,2026-02-09 00:37:26.805722
"{'id': None, 'name': 'Activistpost.com'}",Editor,"Historic Silver Surge Overwhelms Physical Infrastructure, Creating Unprecedented Logjam","Introduction: The Silver Market Seizure – Opportunity Amidst the Chaos The physical silver market is experiencing a historic infrastructure meltdown as prices shatter all records, recently piercing the $100 per ounce barrier for the first time in history. Thi…",https://www.activistpost.com/historic-silver-surge-overwhelms-physical-infrastructure-creating-unprecedented-logjam/,https://www.activistpost.com/wp-content/uploads/2026/02/silver-market-infrastructure-physical-silver-backlog-junk-silver-refining-132-original.jpg,2026-02-07 23:00:00+00:00,"The physical silver market is experiencing a historic infrastructure meltdown as prices shatter all records, recently piercing the $100 per ounce barrier for the first time in history. This parabolic… [+9744 chars]",Activistpost.com,2026-02-09 00:37:26.805722
"{'id': None, 'name': 'Golden State of Mind'}",Joe Viray,Warriors sign Pat Spencer to standard contract,That you-know-what is now a real rostered player for the Warriors.,https://www.goldenstateofmind.com/warriors-news/108311/warriors-sign-pat-spencer-to-standard-contract,https://s.yimg.com/ny/api/res/1.2/LUqPiiYlMlqF3uE4pdT4tQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA7Y2Y9d2VicA--/https://media.zenfs.com/en/sb_nation_articles_115/3657432161ec72c7ed479078c3a89df1,2026-02-07 22:59:37+00:00,"After reaching the 50-game limit afforded to two-way-contract players after the Golden State Warriors win over the Phoenix Suns, Pat Spencer has been signed to a standard contract by the Warriors, pe… [+727 chars]",Golden State of Mind,2026-02-09 00:37:26.805722
"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Rachel Wearmouth,The slow death of Starmer's prime ministership after Mandelson's 'betrayal',"Starmer's decision to hand the plum job of UK ambassador in Washington to Lord Peter Mandelson, despite knowing Mandelson had maintained a friendship with Jeffrey Epstein well past Epstein's conviction for soliciting underage prostitution, may simply be too l…",https://www.abc.net.au/news/2026-02-08/keir-starmer-leadership-peril-over-mandelson-epstein-scanda/106318588,https://live-production.wcms.abc-cdn.net.au/96c211bf05dd137c2683ad8bbd255c33?impolicy=wcms_watermark_news&cropH=1503&cropW=2672&xPos=0&yPos=243&width=862&height=485&imformat=generic,2026-02-07 22:48:37+00:00,"The demise of a political leader is like watching someone go bankrupt. It happens in two ways: gradually, and then all at once.
For Sir Keir Starmer, Britain's prime minister, that ""all at once"" mom… [+7339 chars]",ABC News (AU),2026-02-09 00:37:26.805722
"{'id': 'associated-press', 'name': 'Associated Press'}",Josh Funk,Hims & Hers cancels plan for Wegovy weight-loss pill knockoff,Telehealth company Hims & Hers dropped its plan to offer a knockoff version of the weight-loss pill Wegovy on Saturday — two days after it announced the new drug. The decision came one day after the Food and Drug Administration’s threat to restrict access to …,https://apnews.com/article/wegovy-hims-fda-novo-nordisk-semaglutide-weight-74eb9395c44acd8bb1e12350cb32c146,https://dims.apnews.com/dims4/default/eb29d78/2147483647/strip/true/crop/8640x5757+0+1/resize/980x653!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F2f%2F0d%2Fd972d8f8238a1648e5c4af06c639%2F93a9d304de9d46cfa4a57294124f4429,2026-02-07 22:46:30+00:00,Telehealth company Hims &amp; Hers dropped its plan to offer a knockoff version of the weight-loss pill Wegovy on Saturday two days after it announced the new drug and one day after the Food and Drug… [+2823 chars],Associated Press,2026-02-09 00:37:26.805722
"{'id': 'abc-news', 'name': 'ABC News'}","MARI YAMAGUCHI Associated Press, FOSTER KLUG Associated Press",Japanese Prime Minister Sanae Takaichi hopes for big win as polls open in national elections,Polls opened Sunday in Japanese parliamentary elections that Prime Minister Sanae Takaichi hopes will give her struggling governing party a big enough win to be able to push forward an ambitious conservative political agenda,https://abcnews.go.com/International/wireStory/japanese-prime-minister-sanae-takaichi-hopes-big-win-129955071,https://i.abcnewsfe.com/a/53f1d80b-da74-4272-8d0e-01aea5a1c331/wirestory_bbb322b4dc1dcad8f7373ba7aae4d535_16x9.jpg?w=1600,2026-02-07 22:46:16+00:00,TOKYO -- Polls opened Sunday in parliamentary elections that Japanese Prime Minister Sanae Takaichi hopes will give her struggling party a big enough win to push through an ambitious conservative pol… [+2621 chars],ABC News,2026-02-09 00:37:26.805722
"{'id': None, 'name': 'WSB Radio'}",Josh Funk,Hims & Hers cancels plan for Wegovy weight-loss pill knockoff,Telehealth company Hims & Hers dropped its plan to offer a knockoff version of the weight-loss pill Wegovy on Saturday — two days after it announced the new drug,https://www.wsbradio.com/news/business/hims-hers-drops-plan/63HSP4RHMI7WLDBGYQQJ47MZEY/,https://cmg-cmg-rd-20021-prod.cdn.arcpublishing.com/resizer/v2/https%3A%2F%2Fcloudfront-us-east-1.images.arcpublishing.com%2Fcmg%2FY23ASCJORQ56TPGZHPQZ7YIQLI.jpg?auth=0f01be833c348b4d31ff5a63f3bc6a4491484a9c1982e13df6b7d1ef64ef4449&width=1200&height=630&smart=true,2026-02-07 22:44:20+00:00,Telehealth company Hims &amp; Hers dropped its plan to offer a knockoff version of the weight-loss pill Wegovy on Saturday two days after it announced the new drug and one day after the Food and Drug… [+2981 chars],WSB Radio,2026-02-09 00:37:26.805722
"{'id': None, 'name': 'CryptoSlate'}",Vincent Maliepaard,Tokenized equities approach $1B as institutional rails emerge,"The following is a guest post and analysis from Vincent Maliepaard, Marketing Director at Sentora. A year ago, tokenized equities barely registered as an asset class. Today, the market is approaching $1 billion—a nearly 30x increase—and December 2025 may have…",https://cryptoslate.com/tokenized-equities-approach-1b-as-institutional-rails-emerge/,https://cryptoslate.com/wp-content/uploads/2026/02/tokenization-rails-.jpg,2026-02-07 22:35:57+00:00,"The following is a guest post and analysis from Vincent Maliepaard, Marketing Director at Sentora.
A year ago, tokenized equities barely registered as an asset class. Today, the market is approachin… [+5987 chars]",CryptoSlate,2026-02-09 00:37:26.805722
"{'id': 'fortune', 'name': 'Fortune'}","Natasha Mascarenhas, Emily Mason, Bloomberg",Dorsey’s Block cutting up to 10% of staff in efficiency push,"The company had fewer than 11,000 employees as of late-November, an executive said at the time.",https://fortune.com/2026/02/07/jack-dorsey-block-layoffs-10-percent-efficiency-push-square-app/,"https://fortune.com/img-assets/wp-content/uploads/2026/02/GettyImages-1233272419-e1770503135761.jpg?resize=1200,600",2026-02-07 22:31:41+00:00,Jack Dorseys Block Inc. has been notifying hundreds of employees that their jobs may be eliminated during annual performance reviews as the payments firm embarks on a broader business overhaul.Up to … [+968 chars],Fortune,2026-02-09 00:37:26.805722
"{'id': None, 'name': 'Sporting News'}",Caleb Hightower,Lakers urged to pair Luka Doncic with 6-foot-3 former Nets star guard via buyout,An NBA writer believes the Los Angeles Lakers should target an ex-Brooklyn Nets standout guard on the buyout market.,https://www.sportingnews.com/us/nba/los-angeles-lakers/news/lakers-urged-pair-luka-doncic-6-foot-3-former-nets-star-guard-buyout/53a48be8da822d72271c7485,https://s.yimg.com/os/en/the_sporting_news_articles_584/2910b2ccee6a3b8cd35403820097244d,2026-02-07 22:30:02+00:00,"Lakers urged to pair Luka Doncic with 6-foot-3 former Nets star guard via buyout originally appeared on The Sporting News. Add The Sporting News as a Preferred Source by clicking here.
The Los Angel… [+2054 chars]",Sporting News,2026-02-09 00:37:26.805722
